customer_id,dwelling_type,household_size,tariff_plan,solar_kw,battery_kwh,ev_owner,smart_thermostat,has_solar
100104,Townhouse,1,MiddaySaver,0,0,0,0,0
100105,House,5,Solar,0,5,0,0,0
100106,House,3,Solar,0,0,0,0,0
100107,Townhouse,4,Solar,0,0,1,0,0
100108,Townhouse,3,A1,0,5,0,0,0
100109,Townhouse,3,A1,0,0,0,0,0
100110,Apartment,1,Solar,0,0,0,1,0
100111,Apartment,3,MiddaySaver,0,0,0,0,0
100112,Apartment,5,MiddaySaver,0,0,0,0,0
100113,Townhouse,3,A1,0,0,0,0,0
100114,House,1,A1,0,0,0,0,0
100115,Townhouse,5,EVPlan,3,0,0,0,1
100116,House,2,A1,10,0,0,0,1
100117,Apartment,3,Solar,0,5,0,0,0
100118,Apartment,1,A1,6,0,0,1,1
100119,Apartment,2,EVPlan,0,0,0,0,0
100120,House,2,EVPlan,0,5,0,0,0
100121,House,4,MiddaySaver,0,0,0,0,0
100122,Townhouse,5,MiddaySaver,0,0,0,0,0
100123,Townhouse,3,Solar,0,0,0,0,0
100124,Townhouse,1,A1,0,0,0,0,0
100125,Apartment,4,EVPlan,0,0,0,0,0
100126,Townhouse,5,EVPlan,6,0,0,0,1
100127,Apartment,4,MiddaySaver,0,10,0,0,0
100128,House,5,MiddaySaver,0,5,1,0,0
100129,Apartment,5,A1,3,5,0,1,1
100130,Apartment,3,EVPlan,0,5,0,0,0
100131,Apartment,5,MiddaySaver,0,0,0,0,0
100132,House,4,A1,3,0,0,0,1
100133,House,5,A1,6,5,0,1,1
100134,Townhouse,3,A1,3,0,0,1,1
100135,Townhouse,3,MiddaySaver,3,10,0,0,1
100136,Townhouse,4,MiddaySaver,3,0,0,1,1
100137,House,2,MiddaySaver,6,0,0,0,1
100138,House,2,Solar,0,0,0,1,0
100139,House,5,Solar,0,10,0,0,0
100140,House,1,Solar,0,0,0,0,0
100141,House,5,MiddaySaver,0,0,0,0,0
100142,Apartment,4,MiddaySaver,3,0,0,0,1
100143,Townhouse,4,Solar,0,0,0,0,0
100144,Apartment,4,EVPlan,0,0,0,0,0
100145,Townhouse,4,EVPlan,0,0,0,0,0
100146,Apartment,4,EVPlan,3,0,0,0,1
100147,House,3,EVPlan,0,0,0,0,0
100148,Townhouse,2,Solar,3,0,0,1,1
100149,Apartment,4,A1,0,0,0,1,0
100150,Townhouse,1,A1,0,0,0,1,0
100151,House,1,EVPlan,0,0,0,0,0
100152,House,1,MiddaySaver,0,10,0,0,0
100153,Townhouse,1,EVPlan,3,0,0,0,1
100154,Townhouse,3,EVPlan,6,0,0,0,1
100155,House,1,A1,0,0,0,0,0
100156,House,4,MiddaySaver,0,0,0,0,0
100157,House,5,A1,0,0,0,1,0
100158,Apartment,1,MiddaySaver,3,0,0,0,1
100159,Townhouse,3,Solar,3,0,0,1,1
100160,House,3,A1,0,0,0,0,0
100161,Townhouse,1,Solar,0,0,0,0,0
100162,Apartment,5,Solar,3,0,0,0,1
100163,Apartment,1,EVPlan,0,0,0,0,0
100164,House,3,MiddaySaver,0,0,0,1,0
100165,Townhouse,2,A1,0,0,0,0,0
100166,Apartment,4,EVPlan,0,5,0,0,0
100167,Townhouse,3,A1,6,0,0,0,1
100168,Townhouse,1,Solar,10,0,0,0,1
100169,House,4,A1,0,0,0,0,0
100170,Apartment,1,A1,0,5,0,0,0
100171,Apartment,1,EVPlan,0,0,0,0,0
100172,Apartment,2,MiddaySaver,0,0,0,0,0
100173,Townhouse,4,A1,0,0,0,0,0
100174,Apartment,4,Solar,0,10,0,1,0
100175,Apartment,2,Solar,0,5,0,0,0
100176,Townhouse,3,EVPlan,0,5,0,0,0
100177,Apartment,1,Solar,0,0,0,0,0
100178,Apartment,5,A1,0,0,0,0,0
100179,Townhouse,1,MiddaySaver,0,0,0,0,0
100180,Apartment,1,A1,0,0,0,0,0
100181,House,3,EVPlan,10,5,0,1,1
100182,Townhouse,1,Solar,0,0,0,0,0
100183,Apartment,2,A1,0,0,0,0,0
100184,House,2,A1,6,0,1,0,1
100185,Townhouse,4,Solar,10,0,0,0,1
100186,Apartment,5,MiddaySaver,0,0,0,0,0
100187,Townhouse,1,MiddaySaver,3,0,0,0,1
100188,House,1,MiddaySaver,0,0,0,0,0
100189,Townhouse,3,Solar,0,0,0,0,0
100190,Apartment,2,A1,0,0,0,1,0
100191,House,5,EVPlan,3,0,0,0,1
100192,Townhouse,4,A1,3,0,0,1,1
100193,Apartment,2,Solar,0,0,0,1,0
100194,Apartment,4,Solar,0,0,0,1,0
100195,House,3,A1,0,0,0,0,0
100196,House,3,Solar,0,0,0,1,0
100197,Townhouse,1,A1,0,0,1,0,0
100198,Apartment,5,A1,3,10,0,0,1
100199,House,4,MiddaySaver,3,5,0,0,1
100200,Apartment,2,Solar,3,5,0,0,1
100201,Townhouse,3,Solar,6,0,0,1,1
100202,House,1,MiddaySaver,0,5,0,0,0
100203,Townhouse,1,MiddaySaver,3,5,0,0,1
100204,Townhouse,4,MiddaySaver,0,5,0,0,0
100205,House,3,EVPlan,0,0,0,1,0
100206,Townhouse,5,Solar,0,0,0,0,0
100207,Apartment,3,A1,0,10,0,0,0
100208,House,4,A1,0,0,0,0,0
100209,Apartment,4,A1,0,0,0,0,0
100210,Townhouse,3,Solar,3,5,0,0,1
100211,House,4,EVPlan,0,0,0,0,0
100212,Apartment,3,Solar,0,0,0,1,0
100213,Apartment,2,Solar,10,0,0,0,1
100214,Apartment,3,Solar,0,5,0,0,0
100215,Apartment,3,Solar,0,0,0,0,0
100216,Apartment,4,Solar,0,0,0,1,0
100217,Townhouse,4,EVPlan,0,0,0,1,0
100218,Townhouse,1,MiddaySaver,0,0,1,0,0
100219,Townhouse,1,A1,0,0,0,1,0
100220,Townhouse,2,Solar,0,5,0,0,0
100221,Townhouse,1,Solar,0,5,1,0,0
100222,Townhouse,3,Solar,0,0,0,0,0
100223,Townhouse,4,A1,0,0,0,0,0
100224,Apartment,1,EVPlan,0,0,0,0,0
100225,Townhouse,1,A1,3,0,0,0,1
100226,Apartment,2,EVPlan,0,0,0,1,0
100227,House,2,MiddaySaver,0,5,0,0,0
100228,Townhouse,3,Solar,3,5,0,0,1
100229,Apartment,4,EVPlan,0,0,0,0,0
100230,House,2,A1,0,0,0,0,0
100231,House,1,EVPlan,0,0,1,1,0
100232,Apartment,4,EVPlan,6,0,0,0,1
100233,Apartment,4,MiddaySaver,3,0,0,1,1
100234,Apartment,1,Solar,0,5,0,0,0
100235,Townhouse,2,Solar,3,5,0,0,1
100236,House,1,A1,0,0,0,0,0
100237,Townhouse,4,A1,0,5,0,0,0
100238,Townhouse,5,MiddaySaver,0,0,0,0,0
100239,Townhouse,5,EVPlan,0,0,0,0,0
100240,House,3,EVPlan,3,0,0,0,1
100241,House,1,A1,0,0,0,0,0
100242,House,1,Solar,0,5,0,0,0
100243,Apartment,3,EVPlan,6,0,0,0,1
100244,Townhouse,3,MiddaySaver,0,0,1,0,0
100245,Apartment,3,A1,0,0,1,0,0
100246,Apartment,4,EVPlan,0,0,1,0,0
100247,Townhouse,1,Solar,3,0,0,0,1
100248,House,4,Solar,3,0,0,1,1
100249,Townhouse,3,MiddaySaver,0,0,0,1,0
100250,Apartment,1,MiddaySaver,3,0,0,0,1
100251,House,4,A1,0,0,0,0,0
100252,House,4,A1,3,0,0,0,1
100253,Apartment,3,Solar,0,0,0,0,0
100254,House,1,Solar,0,0,0,1,0
100255,House,3,EVPlan,6,5,0,1,1
100256,Townhouse,1,EVPlan,0,0,0,1,0
100257,Townhouse,5,EVPlan,0,0,0,0,0
100258,Apartment,2,MiddaySaver,0,0,0,1,0
100259,Apartment,2,MiddaySaver,10,0,1,0,1
100260,Apartment,2,EVPlan,0,0,0,1,0
100261,House,3,Solar,0,0,0,0,0
100262,Apartment,5,A1,0,0,0,0,0
100263,Townhouse,1,MiddaySaver,0,0,0,0,0
100264,House,4,MiddaySaver,0,0,0,0,0
100265,Apartment,1,EVPlan,3,0,1,0,1
100266,House,4,A1,10,0,0,1,1
100267,House,1,MiddaySaver,0,0,1,0,0
100268,House,5,A1,0,0,0,0,0
100269,Apartment,4,MiddaySaver,0,0,0,0,0
100270,House,3,A1,0,0,0,0,0
100271,House,1,A1,6,0,0,1,1
100272,House,1,MiddaySaver,0,0,0,0,0
100273,Townhouse,4,A1,0,0,0,0,0
100274,Apartment,3,Solar,3,5,0,1,1
100275,Townhouse,3,MiddaySaver,0,0,0,1,0
100276,House,5,MiddaySaver,0,0,1,0,0
100277,House,3,Solar,0,0,0,0,0
100278,Townhouse,3,A1,3,0,0,0,1
100279,House,3,Solar,6,0,0,0,1
100280,Townhouse,2,MiddaySaver,0,0,0,0,0
100281,House,5,Solar,10,0,0,1,1
100282,House,1,A1,0,0,0,0,0
100283,House,4,Solar,0,0,0,0,0
100284,House,1,MiddaySaver,0,0,0,0,0
100285,Apartment,5,A1,0,0,0,0,0
100286,Apartment,4,MiddaySaver,0,0,0,1,0
100287,Apartment,5,MiddaySaver,0,0,0,0,0
100288,Townhouse,3,EVPlan,0,0,0,0,0
100289,Townhouse,4,MiddaySaver,0,0,0,0,0
100290,Townhouse,3,MiddaySaver,0,0,0,0,0
100291,Townhouse,1,A1,3,5,0,1,1
100292,Apartment,1,A1,0,0,0,0,0
100293,Townhouse,4,A1,0,0,0,0,0
100294,Townhouse,4,Solar,0,5,0,0,0
100295,Townhouse,5,Solar,0,0,0,0,0
100296,House,5,A1,6,0,0,0,1
100297,Townhouse,3,Solar,0,5,0,0,0
100298,House,4,EVPlan,0,0,0,1,0
100299,Townhouse,1,Solar,3,0,0,0,1
100300,Townhouse,5,EVPlan,0,0,0,0,0
100301,House,5,A1,0,0,0,1,0
100302,Townhouse,1,A1,0,0,0,1,0
100303,House,5,Solar,6,0,0,1,1
100304,Townhouse,3,A1,0,5,0,1,0
100305,Townhouse,4,A1,0,5,0,0,0
100306,House,1,MiddaySaver,0,5,0,0,0
100307,Apartment,4,A1,0,5,0,0,0
100308,House,5,MiddaySaver,0,5,0,0,0
100309,Apartment,5,A1,0,0,0,1,0
100310,House,1,EVPlan,0,0,0,0,0
100311,Apartment,3,EVPlan,6,0,0,0,1
100312,Townhouse,2,A1,3,5,0,1,1
100313,Apartment,1,EVPlan,0,0,0,0,0
100314,Townhouse,2,EVPlan,3,0,0,0,1
100315,House,2,EVPlan,0,0,0,0,0
100316,Apartment,3,Solar,0,0,0,0,0
100317,Townhouse,2,EVPlan,0,0,0,0,0
100318,House,2,MiddaySaver,3,0,0,1,1
100319,Apartment,3,Solar,3,0,0,0,1
100320,Townhouse,2,MiddaySaver,0,0,0,1,0
100321,Apartment,2,MiddaySaver,6,0,0,0,1
100322,Apartment,2,MiddaySaver,0,0,0,0,0
100323,Townhouse,1,Solar,6,0,0,0,1
100324,Townhouse,1,A1,10,0,0,0,1
100325,House,1,EVPlan,0,0,0,1,0
100326,Townhouse,3,EVPlan,3,5,0,0,1
100327,Townhouse,5,A1,0,0,0,1,0
100328,Apartment,2,A1,0,0,0,1,0
100329,Townhouse,2,MiddaySaver,0,0,0,1,0
100330,Apartment,3,Solar,0,0,0,0,0
100331,Apartment,2,MiddaySaver,6,5,0,1,1
100332,Townhouse,1,EVPlan,3,0,0,0,1
100333,Townhouse,5,A1,0,0,0,0,0
100334,Townhouse,4,EVPlan,3,0,1,0,1
100335,Townhouse,2,A1,10,5,0,1,1
100336,House,1,Solar,0,0,0,0,0
100337,Apartment,4,MiddaySaver,10,0,0,0,1
100338,House,5,EVPlan,0,0,0,0,0
100339,House,4,Solar,3,5,0,0,1
100340,Apartment,1,EVPlan,0,0,0,0,0
100341,House,4,A1,0,0,0,1,0
100342,Townhouse,3,EVPlan,0,0,0,0,0
100343,Townhouse,4,Solar,0,0,0,1,0
100344,Townhouse,2,Solar,0,0,0,0,0
100345,Townhouse,2,MiddaySaver,0,0,1,1,0
100346,Apartment,3,EVPlan,0,0,0,0,0
100347,Townhouse,1,A1,6,10,1,0,1
100348,Apartment,2,EVPlan,0,0,0,0,0
100349,Apartment,5,MiddaySaver,0,0,0,0,0
100350,Apartment,2,A1,0,0,0,1,0
100351,Apartment,2,A1,0,0,0,0,0
100352,House,1,MiddaySaver,3,5,0,1,1
100353,House,4,A1,3,0,1,0,1
100354,Townhouse,2,Solar,0,0,1,0,0
100355,Apartment,3,Solar,0,10,0,0,0
100356,Townhouse,4,A1,3,0,0,0,1
100357,Townhouse,5,EVPlan,0,5,0,0,0
100358,Townhouse,1,A1,3,0,0,0,1
100359,Townhouse,5,EVPlan,0,5,0,1,0
100360,Apartment,4,MiddaySaver,3,0,0,0,1
100361,Apartment,4,Solar,0,0,0,0,0
100362,House,4,Solar,0,5,0,0,0
100363,Apartment,5,MiddaySaver,10,0,0,0,1
100364,Apartment,4,MiddaySaver,0,0,0,1,0
100365,Townhouse,5,Solar,0,0,0,1,0
100366,Apartment,4,MiddaySaver,0,5,1,0,0
100367,Townhouse,3,A1,0,0,0,1,0
100368,Apartment,4,A1,0,5,0,0,0
100369,House,5,EVPlan,0,0,0,0,0
100370,Townhouse,2,EVPlan,0,0,1,0,0
100371,Apartment,4,EVPlan,0,5,0,1,0
100372,Apartment,2,A1,3,0,0,0,1
100373,Townhouse,3,Solar,0,0,0,0,0
100374,House,1,EVPlan,0,0,0,0,0
100375,House,3,A1,3,0,0,0,1
100376,Apartment,4,Solar,0,0,1,1,0
100377,Apartment,2,MiddaySaver,0,5,0,0,0
100378,Apartment,2,A1,0,0,1,0,0
100379,Townhouse,5,MiddaySaver,0,0,0,0,0
100380,Townhouse,2,EVPlan,0,0,0,0,0
100381,Townhouse,5,Solar,0,0,0,0,0
100382,Apartment,1,A1,0,0,0,0,0
100383,House,4,EVPlan,0,5,0,0,0
100384,Townhouse,5,EVPlan,0,0,1,0,0
100385,House,1,Solar,0,0,0,0,0
100386,Apartment,2,MiddaySaver,0,0,0,0,0
100387,Townhouse,2,EVPlan,3,0,0,0,1
100388,Townhouse,1,Solar,0,5,0,0,0
100389,Townhouse,2,Solar,0,0,0,0,0
100390,Apartment,1,A1,0,0,1,0,0
100391,Apartment,5,EVPlan,0,0,0,0,0
100392,Apartment,5,MiddaySaver,0,0,0,1,0
100393,House,1,MiddaySaver,0,0,0,0,0
100394,House,5,EVPlan,6,0,0,1,1
100395,Townhouse,5,MiddaySaver,0,5,0,1,0
100396,Townhouse,5,Solar,10,5,0,0,1
100397,Apartment,3,Solar,0,0,0,0,0
100398,Apartment,4,EVPlan,0,0,0,0,0
100399,Apartment,2,MiddaySaver,0,0,0,0,0
100400,Townhouse,3,Solar,0,5,0,1,0
100401,Apartment,5,EVPlan,0,10,0,0,0
100402,House,1,Solar,0,0,0,0,0
100403,House,5,EVPlan,0,0,0,0,0
100404,Townhouse,4,A1,6,0,0,1,1
100405,Townhouse,5,A1,3,0,0,0,1
100406,House,1,EVPlan,0,0,1,0,0
100407,Apartment,4,A1,0,0,0,0,0
100408,Townhouse,5,A1,0,0,0,0,0
100409,Townhouse,4,MiddaySaver,0,0,0,0,0
100410,Townhouse,2,A1,0,0,0,0,0
100411,House,2,MiddaySaver,0,0,0,0,0
100412,Townhouse,5,A1,0,0,0,0,0
100413,House,4,A1,0,0,0,0,0
100414,House,1,Solar,10,0,0,0,1
100415,Apartment,5,EVPlan,3,0,0,0,1
100416,Apartment,2,A1,6,0,0,0,1
100417,Apartment,2,EVPlan,0,0,0,0,0
100418,Townhouse,5,EVPlan,0,0,0,0,0
100419,House,4,Solar,0,0,0,0,0
100420,Townhouse,2,EVPlan,0,0,0,0,0
100421,House,4,EVPlan,0,0,0,0,0
100422,Townhouse,2,A1,3,0,0,0,1
100423,House,2,Solar,0,0,0,0,0
100424,Apartment,3,EVPlan,0,0,0,0,0
100425,Apartment,2,A1,0,0,0,0,0
100426,Townhouse,1,Solar,0,0,0,0,0
100427,House,5,A1,0,0,0,1,0
100428,Apartment,5,Solar,0,0,1,0,0
100429,House,4,Solar,0,0,0,0,0
100430,Townhouse,2,MiddaySaver,0,5,1,1,0
100431,Apartment,1,MiddaySaver,10,0,0,0,1
100432,Townhouse,4,MiddaySaver,0,0,0,1,0
100433,Townhouse,3,EVPlan,3,0,0,0,1
100434,House,4,A1,0,5,0,0,0
100435,Townhouse,4,Solar,0,0,0,0,0
100436,Townhouse,2,A1,0,0,0,0,0
100437,House,3,EVPlan,0,5,0,0,0
100438,House,4,MiddaySaver,0,0,0,0,0
100439,Townhouse,1,MiddaySaver,3,5,0,0,1
100440,Apartment,1,A1,3,5,1,1,1
100441,Apartment,5,A1,0,0,0,0,0
100442,House,3,Solar,0,0,0,0,0
100443,Townhouse,3,A1,6,0,0,0,1
100444,Apartment,5,Solar,0,0,1,0,0
100445,House,4,Solar,0,0,0,0,0
100446,House,3,MiddaySaver,0,0,0,0,0
100447,House,1,A1,3,0,0,0,1
100448,Townhouse,1,MiddaySaver,10,0,0,0,1
100449,House,2,Solar,0,0,0,1,0
100450,Apartment,3,MiddaySaver,6,0,0,0,1
100451,Townhouse,4,MiddaySaver,3,0,0,0,1
100452,Apartment,5,Solar,0,0,0,0,0
100453,Apartment,5,EVPlan,0,0,0,0,0
100454,Apartment,4,EVPlan,0,0,0,0,0
100455,Townhouse,2,A1,10,0,0,0,1
100456,Apartment,5,MiddaySaver,0,10,0,1,0
100457,House,3,A1,3,0,0,0,1
100458,House,2,MiddaySaver,0,0,0,0,0
100459,Apartment,3,A1,3,0,1,0,1
100460,House,1,A1,0,0,0,0,0
100461,Townhouse,2,Solar,0,0,0,0,0
100462,Townhouse,5,EVPlan,3,0,0,0,1
100463,House,2,EVPlan,3,0,1,0,1
100464,House,2,EVPlan,6,5,0,0,1
100465,Townhouse,2,Solar,0,0,0,0,0
100466,Apartment,2,EVPlan,3,0,0,0,1
100467,Townhouse,3,Solar,0,5,0,0,0
100468,Apartment,1,MiddaySaver,0,0,0,0,0
100469,House,4,Solar,0,0,0,0,0
100470,House,2,A1,0,0,1,0,0
100471,Apartment,5,A1,0,0,0,0,0
100472,Apartment,2,MiddaySaver,10,0,0,0,1
100473,Townhouse,5,MiddaySaver,0,0,0,0,0
100474,Apartment,3,A1,3,5,1,1,1
100475,House,5,EVPlan,0,10,0,0,0
100476,House,4,EVPlan,0,5,0,1,0
100477,House,1,EVPlan,0,5,1,0,0
100478,Apartment,5,MiddaySaver,6,0,0,0,1
100479,Apartment,5,A1,6,0,0,0,1
100480,House,1,Solar,6,0,0,0,1
100481,Apartment,4,MiddaySaver,10,0,1,1,1
100482,Townhouse,2,A1,0,5,0,0,0
100483,Townhouse,5,EVPlan,0,0,0,0,0
100484,Apartment,1,EVPlan,3,5,0,0,1
100485,Apartment,3,EVPlan,0,5,0,0,0
100486,House,1,A1,0,10,1,0,0
100487,Apartment,3,EVPlan,0,5,1,0,0
100488,House,4,A1,0,0,0,0,0
100489,Townhouse,2,MiddaySaver,0,0,0,1,0
100490,Apartment,1,Solar,0,0,0,0,0
100491,Townhouse,5,EVPlan,0,0,0,0,0
100492,Apartment,4,MiddaySaver,0,0,0,0,0
100493,Apartment,1,MiddaySaver,0,5,0,1,0
100494,House,5,A1,0,5,0,0,0
100495,House,1,MiddaySaver,3,0,0,0,1
100496,Apartment,3,A1,0,0,0,1,0
100497,Apartment,1,A1,0,0,0,0,0
100498,House,1,MiddaySaver,3,0,0,0,1
100499,Townhouse,1,A1,0,0,0,0,0
100500,Apartment,4,A1,0,0,0,1,0
100501,House,1,A1,3,0,0,1,1
100502,Apartment,5,MiddaySaver,0,0,0,1,0
100503,House,3,Solar,3,0,0,0,1
100504,Townhouse,3,A1,3,0,0,0,1
100505,Apartment,1,EVPlan,0,0,0,0,0
100506,Apartment,4,MiddaySaver,0,0,0,1,0
100507,Townhouse,4,MiddaySaver,0,0,0,1,0
100508,Apartment,5,A1,0,10,0,0,0
100509,Apartment,1,MiddaySaver,0,0,0,0,0
100510,Apartment,3,EVPlan,0,0,0,0,0
100511,House,4,Solar,0,0,1,0,0
100512,House,1,MiddaySaver,0,0,0,0,0
100513,Apartment,4,MiddaySaver,0,5,0,0,0
100514,Townhouse,4,MiddaySaver,0,0,0,0,0
100515,Townhouse,3,A1,0,0,0,0,0
100516,Apartment,2,EVPlan,3,0,0,1,1
100517,House,5,Solar,0,0,0,1,0
100518,House,5,EVPlan,0,0,1,1,0
100519,Apartment,3,EVPlan,6,0,0,0,1
100520,House,4,MiddaySaver,0,0,1,0,0
100521,House,1,Solar,0,0,0,0,0
100522,Townhouse,4,EVPlan,0,0,0,1,0
100523,Apartment,3,Solar,0,0,0,0,0
100524,House,5,A1,0,0,0,0,0
100525,House,4,MiddaySaver,0,0,0,0,0
100526,House,5,A1,0,0,0,1,0
100527,Apartment,1,Solar,6,0,0,0,1
100528,Apartment,5,MiddaySaver,0,0,1,0,0
100529,House,5,A1,0,0,0,0,0
100530,Townhouse,2,MiddaySaver,6,0,0,1,1
100531,Townhouse,2,A1,0,0,1,0,0
100532,Apartment,2,EVPlan,6,5,0,0,1
100533,Townhouse,5,MiddaySaver,0,0,0,0,0
100534,House,3,Solar,3,0,0,0,1
100535,Apartment,5,MiddaySaver,0,0,0,0,0
100536,Apartment,3,Solar,3,5,0,0,1
100537,Townhouse,3,A1,6,0,0,0,1
100538,Apartment,2,A1,0,10,0,1,0
100539,Townhouse,4,Solar,0,5,0,0,0
100540,Townhouse,1,A1,0,0,0,0,0
100541,House,2,MiddaySaver,0,5,1,0,0
100542,Townhouse,2,A1,0,0,0,0,0
100543,Townhouse,4,Solar,0,5,0,1,0
100544,Apartment,1,Solar,0,0,0,0,0
100545,House,5,EVPlan,0,0,0,0,0
100546,House,5,Solar,0,0,0,0,0
100547,Townhouse,2,A1,0,0,0,0,0
100548,Apartment,1,Solar,0,0,0,0,0
100549,Apartment,2,A1,0,0,0,0,0
100550,Apartment,3,A1,0,0,0,1,0
100551,House,2,EVPlan,0,0,0,0,0
100552,House,2,A1,0,0,0,0,0
100553,Townhouse,5,Solar,0,0,0,0,0
100554,Townhouse,5,Solar,0,0,0,1,0
100555,Apartment,5,Solar,3,0,0,0,1
100556,Townhouse,3,A1,0,0,0,0,0
100557,Apartment,5,Solar,0,0,0,0,0
100558,House,1,MiddaySaver,3,0,0,1,1
100559,Townhouse,4,MiddaySaver,3,10,0,0,1
100560,Apartment,1,Solar,6,0,0,0,1
100561,House,1,A1,0,5,0,0,0
100562,Apartment,5,Solar,0,0,0,1,0
100563,Townhouse,4,MiddaySaver,6,0,0,0,1
100564,Apartment,4,A1,0,0,0,1,0
100565,House,4,Solar,0,5,0,0,0
