customer_id,tariff_plan,days,total_kwh,total_bill
100056,A1,366,19636.469,4916.90283984375
100057,MiddaySaver,366,13621.401,3235.851572265625
100058,EVPlan,366,20458.021,4062.427890625
100059,MiddaySaver,366,15828.757,3694.981611328125
100060,Solar,366,11381.498,1235.9048583984375
100061,Solar,366,11145.98,1219.4186279296875
100062,MiddaySaver,366,11715.105,2839.3420458984374
100063,A1,366,12170.178,3184.72334765625
100064,Solar,366,13091.203,1355.5842529296874
100065,A1,366,14790.03,3792.52912890625
100066,MiddaySaver,366,12876.566,3080.9258056640624
100067,A1,366,11000.197,2913.28787890625
100068,EVPlan,366,10123.59,2222.899072265625
100069,Solar,366,18496.107,1733.9275390625003
100070,A1,366,9726.533,2617.797703125
100071,A1,366,24702.596,6092.2441875
100072,EVPlan,366,11406.258,2451.213984375
100073,A1,366,14130.386,3639.4914921875
100074,MiddaySaver,366,16372.863,3808.1557519531248
100075,MiddaySaver,366,12826.343,3070.4793847656247
100076,MiddaySaver,366,19201.047,4396.417939453125
100077,Solar,366,10218.883,1154.521826171875
100078,A1,366,12148.27,3179.64065234375
100079,Solar,366,11689.609,1257.4726806640624
100080,Solar,366,13695.385,1397.876953125
100081,A1,366,8341.691,2296.5144511718754
100082,A1,366,15891.367,4048.0391875000005
100083,MiddaySaver,366,23606.457,5312.743251953125
100084,Solar,366,8944.422,1065.3095458984376
100085,Solar,366,11757.827,1262.2479248046875
100086,A1,366,10153.945,2716.9573125
100087,Solar,366,9725.36,1119.975244140625
100088,EVPlan,366,17132.746,3470.52896484375
100089,A1,366,15355.073,3923.6189921875
100090,MiddaySaver,366,9700.188,2420.239250488281
100091,EVPlan,366,12122.047,2578.6244238281247
100092,EVPlan,366,24183.05,4725.4832128906255
100093,MiddaySaver,366,13303.254,3169.6769140625
100094,EVPlan,366,10423.111,2276.2138964843753
100095,EVPlan,366,12960.304,2727.8341406249997
100096,EVPlan,366,25037.916,4877.64923828125
100097,Solar,366,10548.186,1177.5730224609374
100098,EVPlan,366,8864.283,1998.742490234375
100099,EVPlan,366,10956.158,2371.096240234375
100100,A1,366,19527.14,4891.538835937501
100101,MiddaySaver,366,11747.703,2846.1223583984374
100102,Solar,366,21506.395,1944.647607421875
100103,Solar,366,16367.923,1584.954638671875
100104,MiddaySaver,366,10209.531,2526.1825
100105,Solar,366,17803.555,1685.448828125
100106,Solar,366,18918.404,1763.4883300781253
100107,Solar,366,23658.625,2095.30380859375
100108,A1,366,16862.57,4273.3585234375005
100109,A1,366,18459.52,4643.850652343751
100110,Solar,366,10713.203,1189.1242431640626
100111,MiddaySaver,366,13147.895,3137.3620556640626
100112,MiddaySaver,366,19325.453,4422.294331054687
100113,A1,366,14673.836,3765.57205859375
100114,A1,366,11557.607,3042.6070195312504
100115,EVPlan,366,16830.459,3416.7216992187496
100116,A1,366,8119.7637,2245.0272246093755
100117,Solar,366,18805.297,1755.57080078125
100118,A1,366,6638.9717,1901.4834257812502
100119,EVPlan,366,11576.01,2481.4297314453124
100120,EVPlan,366,14637.979,3026.4601757812497
100121,MiddaySaver,366,17757.41,4096.141420898437
100122,MiddaySaver,366,16870.465,3911.6567822265624
100123,Solar,366,18276.488,1718.55419921875
100124,A1,366,11306.529,2984.3569023437503
100125,EVPlan,366,22322.047,4394.22453125
100126,EVPlan,366,12397.549,2627.663764648438
100127,MiddaySaver,366,14459.184,3410.1102685546875
100128,MiddaySaver,366,32946.094,7255.3875
100129,A1,366,17203.176,4352.3789921874995
100130,EVPlan,366,12608.974,2665.2972998046876
100131,MiddaySaver,366,25988.662,5808.241894531249
100132,A1,366,13416.905,3473.96412890625
100133,A1,366,13153.502,3412.85455859375
100134,A1,366,13997.149,3608.58076953125
100135,MiddaySaver,366,15131.202,3549.8901416015624
100136,MiddaySaver,366,18028.707,4152.571157226563
100137,MiddaySaver,366,7757.374,2016.1338916015625
100138,Solar,366,13514.429,1385.2100341796877
100139,Solar,366,15730.199,1540.31396484375
100140,Solar,366,11135.98,1218.7186279296875
100141,MiddaySaver,366,14791.258,3479.1817333984372
100142,MiddaySaver,366,15252.4795,3575.1158154296872
100143,Solar,366,21266.277,1927.839404296875
100144,EVPlan,366,15529.214,3185.1000683593747
100145,EVPlan,366,12606.335,2664.8277099609377
100146,EVPlan,366,14087.223,2928.425712890625
100147,EVPlan,366,16754.762,3403.247666015625
100148,Solar,366,10633.127,1183.5189208984375
100149,A1,366,13753.991,3552.168171875
100150,A1,366,9958.275,2671.561951171875
100151,EVPlan,366,10658.341,2318.0847460937503
100152,MiddaySaver,366,10836.315,2656.5537109375
100153,EVPlan,366,7830.2524,1814.6850146484376
100154,EVPlan,366,8268.547,1892.701376953125
100155,A1,366,11975.139,3139.4742851562505
100156,MiddaySaver,366,14567.656,3432.6724999999997
100157,A1,366,16342.752,4152.760574218751
100158,MiddaySaver,366,9884.234,2458.5208447265622
100159,Solar,366,12823.652,1336.8556884765626
100160,A1,366,18775.191,4717.08651171875
100161,Solar,366,11614.208,1252.1945556640626
100162,Solar,366,20405.805,1867.60634765625
100163,EVPlan,366,9591.174,2128.128974609375
100164,MiddaySaver,366,12095.682,2918.501889648437
100165,A1,366,13756.873,3552.83666796875
100166,EVPlan,366,18034.145,3630.97779296875
100167,A1,366,14397.758,3701.5219023437503
100168,Solar,366,6194.3,872.8010009765625
100169,A1,366,13474.551,3487.3378789062504
100170,A1,366,9950.223,2669.693708984375
100171,EVPlan,366,10326.169,2258.9581591796873
100172,MiddaySaver,366,14816.395,3484.410170898437
100173,A1,366,16121.008,4101.316023437501
100174,Solar,366,18600.691,1741.2484375000001
100175,Solar,366,11652.004,1254.8403076171876
100176,EVPlan,366,17139.07,3471.654609375
100177,Solar,366,10998.889,1209.1222412109375
100178,A1,366,19866.906,4970.364460937501
100179,MiddaySaver,366,9930.5,2468.1440405273433
100180,A1,366,12273.389,3208.66826953125
100181,EVPlan,366,8900.375,2005.166796875
100182,Solar,366,10228.279,1155.1795654296875
100183,A1,366,14174.769,3649.78842578125
100184,A1,366,16403.771,4166.917195312501
100185,Solar,366,13051.379,1352.7965576171875
100186,MiddaySaver,366,21862.615,4950.023955078124
100187,MiddaySaver,366,7978.9854,2062.2290478515624
100188,MiddaySaver,366,10890.811,2667.888681640625
100189,Solar,366,18239.959,1715.99716796875
100190,A1,366,9228.627,2502.283513671875
100191,EVPlan,366,11870.57,2533.8615087890626
100192,A1,366,10657.945,2833.8854179687505
100193,Solar,366,13168.158,1360.9710693359375
100194,Solar,366,21441.047,1940.07333984375
100195,A1,366,16667.672,4228.14198046875
100196,Solar,366,14522.691,1455.788427734375
100197,A1,366,18784.936,4719.34713671875
100198,A1,366,17931.426,4521.33278125
100199,MiddaySaver,366,12914.603,3088.8374365234376
100200,Solar,366,11983.293,1278.0305419921874
100201,Solar,366,8305.242,1020.5669677734376
100202,MiddaySaver,366,11708.367,2837.940483398437
100203,MiddaySaver,366,9701.001,2420.408203125
100204,MiddaySaver,366,13613.634,3234.2359228515625
100205,EVPlan,366,14939.162,3080.0710156249997
100206,Solar,366,26188.533,2272.397314453125
100207,A1,366,15292.15,3909.0211015625005
100208,A1,366,13280.213,3442.2515117187504
100209,A1,366,21181.13,5275.264343750001
100210,Solar,366,11401.234,1237.2864013671876
100211,EVPlan,366,19026.828,3807.6755664062503
100212,Solar,366,11658.576,1255.3003662109377
100213,Solar,366,7000.213,929.2149169921876
100214,Solar,366,19284.074,1789.08525390625
100215,Solar,366,17349.357,1653.655078125
100216,Solar,366,18543.328,1737.2330078125
100217,EVPlan,366,12705.945,2682.558359375
100218,MiddaySaver,366,16593.715,3854.0927685546876
100219,A1,366,11263.213,2974.3074882812502
100220,Solar,366,10665.488,1185.7842041015624
100221,Solar,366,17727.25,1680.10751953125
100222,Solar,366,16257.243,1577.207080078125
100223,A1,366,16900.414,4282.13815234375
100224,EVPlan,366,10613.05,2310.022958984375
100225,A1,366,7835.009,2178.964099609375
100226,EVPlan,366,14044.465,2920.81490234375
100227,MiddaySaver,366,10373.648,2560.3189697265625
100228,Solar,366,11374.312,1235.4018310546876
100229,EVPlan,366,19009.963,3804.6735546874997
100230,A1,366,14707.293,3773.33408984375
100231,EVPlan,366,14124.621,2935.08271484375
100232,EVPlan,366,12157.166,2584.87564453125
100233,MiddaySaver,366,13428.521,3195.732563476562
100234,Solar,366,9543.901,1107.273095703125
100235,Solar,366,9146.211,1079.4347656250002
100236,A1,366,10505.291,2798.4696367187503
100237,A1,366,17975.867,4531.64330859375
100238,MiddaySaver,366,26615.07,5938.534814453125
100239,EVPlan,366,20052.943,3990.323984375
100240,EVPlan,366,11091.99,2395.27435546875
100241,A1,366,11517.397,3033.27830859375
100242,Solar,366,10589.107,1180.437548828125
100243,EVPlan,366,8408.889,1917.6822167968749
100244,MiddaySaver,366,21467.926,4867.928779296875
100245,A1,366,23875.646,5900.392195312501
100246,EVPlan,366,20867.928,4135.391123046875
100247,Solar,366,10030.786,1141.355029296875
100248,Solar,366,9396.887,1096.982080078125
100249,MiddaySaver,366,17021.842,3943.1431884765625
100250,MiddaySaver,366,8273.828,2123.5562499999996
100251,A1,366,18342.535,4616.71026171875
100252,A1,366,11918.529,3126.3407890625003
100253,Solar,366,14985.877,1488.21142578125
100254,Solar,366,8486.545,1033.258154296875
100255,EVPlan,366,9758.885,2157.9815283203125
100256,EVPlan,366,10759.84,2336.151572265625
100257,EVPlan,366,26704.082,5174.226748046875
100258,MiddaySaver,366,14792.049,3479.3462646484377
100259,MiddaySaver,366,15075.973,3538.4024072265624
100260,EVPlan,366,10161.241,2229.601015625
100261,Solar,366,19756.672,1822.16708984375
100262,A1,366,20317.11,5074.811375
100263,MiddaySaver,366,12266.689,2954.071494140625
100264,MiddaySaver,366,20344.57,4634.270624999999
100265,EVPlan,366,14298.608,2966.052294921875
100266,A1,366,12014.025,3148.49600390625
100267,MiddaySaver,366,18804.496,4313.935268554687
100268,A1,366,25617.342,6304.465281250001
100269,MiddaySaver,366,20455.434,4657.330268554688
100270,A1,366,11866.316,3114.22752734375
100271,A1,366,7424.8564,2083.8087480468753
100272,MiddaySaver,366,12075.205,2914.242744140625
100273,A1,366,16029.742,4080.1422929687506
100274,Solar,366,14065.282,1423.769775390625
100275,MiddaySaver,366,13166.496,3141.2312890625
100276,MiddaySaver,366,23594.938,5310.347216796875
100277,Solar,366,12916.223,1343.3356201171875
100278,A1,366,13779.366,3558.0550664062503
100279,Solar,366,9920.502,1133.63515625
100280,MiddaySaver,366,15792.583,3687.4572656249998
100281,Solar,366,11256.254,1227.1377685546875
100282,A1,366,10436.509,2782.5121367187503
100283,Solar,366,21251.586,1926.811083984375
100284,MiddaySaver,366,11695.827,2835.3321484375
100285,A1,366,16001.187,4073.5172734375
100286,MiddaySaver,366,11360.768,2765.639750976562
100287,MiddaySaver,366,17934.863,4133.0515625
100288,EVPlan,366,15794.699,3232.3566210937497
100289,MiddaySaver,366,15833.123,3695.889702148437
100290,MiddaySaver,366,18199.543,4188.105126953125
100291,A1,366,7692.615,2145.928787109375
100292,A1,366,10053.854,2693.73612109375
100293,A1,366,12469.982,3254.27803515625
100294,Solar,366,17299.389,1650.1572265625
100295,Solar,366,26397.367,2287.015771484375
100296,A1,366,12451.303,3249.9442265625003
100297,Solar,366,15047.484,1492.52392578125
100298,EVPlan,366,17813.55,3591.712119140625
100299,Solar,366,8946.667,1065.46669921875
100300,EVPlan,366,21055.477,4168.774814453125
100301,A1,366,18467.723,4645.753777343751
100302,A1,366,10277.197,2745.55186328125
100303,Solar,366,11144.086,1219.2860107421875
100304,A1,366,18282.91,4602.877156250001
100305,A1,366,17515.629,4424.86799609375
100306,MiddaySaver,366,12093.924,2918.1362646484376
100307,A1,366,13128.316,3407.01151171875
100308,MiddaySaver,366,26013.584,5813.425644531249
100309,A1,366,23522.984,5818.574617187501
100310,EVPlan,366,11613.253,2488.0591015624996
100311,EVPlan,366,11006.025,2379.9725927734376
100312,A1,366,11793.973,3097.4437773437503
100313,EVPlan,366,10446.523,2280.3812451171875
100314,EVPlan,366,11766.012,2515.250166015625
100315,EVPlan,366,15139.678,3115.7626367187495
100316,Solar,366,13247.809,1366.546630859375
100317,EVPlan,366,10510.944,2291.848178710937
100318,MiddaySaver,366,10103.369,2504.10078125
100319,Solar,366,15037.225,1491.80576171875
100320,MiddaySaver,366,12078.861,2915.003149414062
100321,MiddaySaver,366,11467.17,2787.7714453125
100322,MiddaySaver,366,14364.198,3390.3533154296874
100323,Solar,366,8087.501,1005.3250976562501
100324,A1,366,5773.187,1700.621443359375
100325,EVPlan,366,9764.365,2158.95701171875
100326,EVPlan,366,14103.465,2931.3168359374995
100327,A1,366,22416.484,5561.866570312501
100328,A1,366,9845.986,2645.5108281250004
100329,MiddaySaver,366,11569.289,2809.0122265624996
100330,Solar,366,15290.55,1509.538525390625
100331,MiddaySaver,366,9367.195,2350.976672363281
100332,EVPlan,366,9774.316,2160.7283203125
100333,A1,366,25149.855,6196.0086796875
100334,EVPlan,366,19856.955,3955.4381640624997
100335,A1,366,7967.452,2209.6910039062504
100336,Solar,366,10206.029,1153.6220703125
100337,MiddaySaver,366,9370.385,2351.6400854492185
100338,EVPlan,366,23672.053,4634.525546875
100339,Solar,366,12360.148,1304.4104248046874
100340,EVPlan,366,11413.64,2452.5279443359377
100341,A1,366,13495.355,3492.1644609375
100342,EVPlan,366,15002.756,3091.390703125
100343,Solar,366,19213.287,1784.130126953125
100344,Solar,366,15140.7705,1499.053955078125
100345,MiddaySaver,366,19041.938,4363.3230810546875
100346,EVPlan,366,17595.762,3552.9455859375
100347,A1,366,12182.349,3187.54698046875
100348,EVPlan,366,13098.748,2752.4772460937497
100349,MiddaySaver,366,17495.559,4041.676376953125
100350,A1,366,14261.596,3669.93229296875
100351,A1,366,14831.211,3802.0829375000003
100352,MiddaySaver,366,8056.006,2078.2492187499997
100353,A1,366,21607.344,5374.145945312501
100354,Solar,366,17025.99,1631.0193359375
100355,Solar,366,18028.855,1701.2199218750002
100356,A1,366,11026.088,2919.2943828125003
100357,EVPlan,366,21512.363,4250.100810546875
100358,A1,366,9714.688,2615.04983203125
100359,EVPlan,366,24779.25,4831.60666015625
100360,MiddaySaver,366,13838.735,3281.056953125
100361,Solar,366,20421.23,1868.6861328125
100362,Solar,366,19747.244,1821.5071289062498
100363,MiddaySaver,366,16137.726,3759.2470166015623
100364,MiddaySaver,366,16326.207,3798.4511572265624
100365,Solar,366,16032.095,1561.446630859375
100366,MiddaySaver,366,20389.312,4643.577094726563
100367,A1,366,14636.264,3756.8552617187506
100368,A1,366,23049.86,5708.8096171875
100369,EVPlan,366,14684.836,3034.8009570312497
100370,EVPlan,366,19697.926,3927.130869140625
100371,EVPlan,366,11625.861,2490.3034033203126
100372,A1,366,12051.58,3157.2086992187506
100373,Solar,366,11770.021,1263.1015380859376
100374,EVPlan,366,10510.252,2291.72494140625
100375,A1,366,12926.2,3360.1204375
100376,Solar,366,23391.336,2076.593505859375
100377,MiddaySaver,366,13495.578,3209.6803515624997
100378,A1,366,22926.191,5680.118601562501
100379,MiddaySaver,366,18773.234,4307.432939453125
100380,EVPlan,366,14814.338,3057.8523046875
100381,Solar,366,25292.396,2209.667822265625
100382,A1,366,10090.854,2702.3200761718754
100383,EVPlan,366,17020.258,3450.5059570312496
100384,EVPlan,366,31595.504,6044.8998828125
100385,Solar,366,11227.576,1225.13037109375
100386,MiddaySaver,366,13172.834,3142.5495703125
100387,EVPlan,366,9310.935,2078.24638671875
100388,Solar,366,11612.9375,1252.1056640625
100389,Solar,366,14509.134,1454.839404296875
100390,A1,366,16896.137,4281.14580859375
100391,EVPlan,366,13446.844,2814.43828125
100392,MiddaySaver,366,24277.271,5452.272685546875
100393,MiddaySaver,366,11316.041,2756.3366259765626
100394,EVPlan,366,10324.834,2258.7205224609374
100395,MiddaySaver,366,20669.332,4701.821279296875
100396,Solar,366,12079.568,1284.76982421875
100397,Solar,366,15503.924,1524.47470703125
100398,EVPlan,366,22778.809,4475.528076171875
100399,MiddaySaver,366,13594.537,3230.263813476562
100400,Solar,366,10832.47,1197.4728759765626
100401,EVPlan,366,24159.375,4721.268896484375
100402,Solar,366,9593.404,1110.738330078125
100403,EVPlan,366,13432.03,2811.8013818359377
100404,A1,366,8539.033,2342.297703125
100405,A1,366,23750.502,5871.358679687501
100406,EVPlan,366,18923.207,3789.23091796875
100407,A1,366,12655.693,3297.3629570312505
100408,A1,366,18161.273,4574.65752734375
100409,MiddaySaver,366,13748.597,3262.3082177734373
100410,A1,366,14115.988,3636.1514921875005
100411,MiddaySaver,366,14622.932,3444.169970703125
100412,A1,366,19281.104,4834.458015625
100413,A1,366,14891.962,3816.1772539062504
100414,Solar,366,6027.3438,861.1140747070312
100415,EVPlan,366,16003.465,3269.5168359375
100416,A1,366,10080.531,2699.925310546875
100417,EVPlan,366,11136.9375,2403.2748681640624
100418,EVPlan,366,19223.588,3842.6987109374995
100419,Solar,366,12312.322,1301.06259765625
100420,EVPlan,366,10913.143,2363.43947265625
100421,EVPlan,366,19761.582,3938.4616015624997
100422,A1,366,8824.262,2408.470779296875
100423,Solar,366,11455.277,1241.0694091796875
100424,EVPlan,366,16439.186,3347.0751074218747
100425,A1,366,12116.802,3172.34010546875
100426,Solar,366,11211.445,1224.0011962890626
100427,A1,366,20823.336,5192.256179687501
100428,Solar,366,24036.205,2121.734423828125
100429,Solar,366,17139.453,1638.96171875
100430,MiddaySaver,366,20566.68,4680.46955078125
100431,MiddaySaver,366,6353.4023,1724.1077416992186
100432,MiddaySaver,366,14980.035,3518.447407226562
100433,EVPlan,366,14808.479,3056.8093359375
100434,A1,366,19345.715,4849.4480546875
100435,Solar,366,15540.664,1527.046484375
100436,A1,366,13143.361,3410.50194140625
100437,EVPlan,366,14101.152,2930.9051171875
100438,MiddaySaver,366,15737.527,3676.005795898437
100439,MiddaySaver,366,10131.883,2510.0316723632814
100440,A1,366,16982.348,4301.14674609375
100441,A1,366,23989.363,5926.774265625
100442,Solar,366,16522.895,1595.8026367187501
100443,A1,366,9495.747,2564.2553203125
100444,Solar,366,29569.332,2509.0533203125
100445,Solar,366,22763.152,2032.620654296875
100446,MiddaySaver,366,13734.622,3259.4014990234373
100447,A1,366,9435.797,2550.34698046875
100448,MiddaySaver,366,6891.028,1835.9337890624997
100449,Solar,366,12274.355,1298.4049072265625
100450,MiddaySaver,366,9540.342,2386.99109375
100451,MiddaySaver,366,17037.422,3946.38375
100452,Solar,366,15023.612,1490.852880859375
100453,EVPlan,366,15612.207,3199.8728515625
100454,EVPlan,366,13371.827,2801.0853125
100455,A1,366,9170.207,2488.730076171875
100456,MiddaySaver,366,14647.197,3449.2170312499998
100457,A1,366,13809.238,3564.9852812500003
100458,MiddaySaver,366,13396.809,3189.1362890624996
100459,A1,366,21698.791,5395.361726562501
100460,A1,366,10931.695,2897.39541796875
100461,Solar,366,11566.814,1248.87705078125
100462,EVPlan,366,22133.082,4360.5887890625
100463,EVPlan,366,20504.848,4070.763056640625
100464,EVPlan,366,9457.602,2104.3531249999996
100465,Solar,366,11783.004,1264.010302734375
100466,EVPlan,366,12520.805,2649.6032275390626
100467,Solar,366,14403.508,1447.44560546875
100468,MiddaySaver,366,11926.549,2883.3222509765624
100469,Solar,366,21152.432,1919.8702636718751
100470,A1,366,21660.273,5386.425632812501
100471,A1,366,26951.64,6614.022820312501
100472,MiddaySaver,366,7669.8525,1997.9293823242188
100473,MiddaySaver,366,13373.739,3184.3377587890623
100474,A1,366,18717.701,4703.748777343751
100475,EVPlan,366,18797.45,3766.8460546875003
100476,EVPlan,366,13851.422,2886.453173828125
100477,EVPlan,366,19446.422,3882.3631738281247
100478,MiddaySaver,366,20929.305,4755.895361328125
100479,A1,366,10562.755,2811.8012382812503
100480,Solar,366,8218.957,1014.527001953125
100481,MiddaySaver,366,20484.441,4663.363798828124
100482,A1,366,12009.23,3147.38358203125
100483,EVPlan,366,19796.463,3944.67048828125
100484,EVPlan,366,9410.0625,2095.891171875
100485,EVPlan,366,16541.473,3365.2822265625
100486,A1,366,18683.578,4695.832214843751
100487,EVPlan,366,23350.82,4577.346162109376
100488,A1,366,13544.006,3503.45147265625
100489,MiddaySaver,366,14575.424,3434.2882373046873
100490,Solar,366,12094.6455,1285.8252197265624
100491,EVPlan,366,18025.752,3629.48384765625
100492,MiddaySaver,366,19871.824,4535.939545898437
100493,MiddaySaver,366,8956.695,2265.5927197265623
100494,A1,366,19341.035,4848.36215625
100495,MiddaySaver,366,8759.189,2224.5114062499997
100496,A1,366,17598.613,4444.1202812500005
100497,A1,366,10958.033,2903.5058085937503
100498,MiddaySaver,366,8100.606,2087.526086425781
100499,A1,366,11418.562,3010.34838671875
100500,A1,366,16911.344,4284.673855468751
100501,A1,366,7888.412,2191.3536699218753
100502,MiddaySaver,366,19780.98,4517.044018554687
100503,Solar,366,11645.818,1254.40732421875
100504,A1,366,12274.348,3208.89076953125
100505,EVPlan,366,11813.175,2523.6451953125
100506,MiddaySaver,366,12527.218,3008.2613916015625
100507,MiddaySaver,366,12673.445,3038.676733398437
100508,A1,366,25437.883,6262.8310234375
100509,MiddaySaver,366,10850.363,2659.4756640625
100510,EVPlan,366,13142.033,2760.1819970703127
100511,Solar,366,25935.07,2254.65498046875
100512,MiddaySaver,366,9538.516,2386.61125
100513,MiddaySaver,366,18969.473,4348.2503125
100514,MiddaySaver,366,18939.01,4341.914125976562
100515,A1,366,18808.543,4724.824089843751
100516,EVPlan,366,10856.564,2353.3685595703123
100517,Solar,366,15025.623,1490.99365234375
100518,EVPlan,366,25324.996,4928.7494921875
100519,EVPlan,366,11554.835,2477.660703125
100520,MiddaySaver,366,30714.195,6791.152841796875
100521,Solar,366,11589.973,1250.4981201171877
100522,EVPlan,366,19676.06,3923.238857421875
100523,Solar,366,19456.953,1801.1867187500002
100524,A1,366,17363.992,4389.68830859375
100525,MiddaySaver,366,18335.637,4216.412626953124
100526,A1,366,17352.06,4386.9200468750005
100527,Solar,366,8080.582,1004.840771484375
100528,MiddaySaver,366,25486.863,5703.867548828124
100529,A1,366,16496.781,4188.49533984375
100530,MiddaySaver,366,10637.324,2615.163525390625
100531,A1,366,20648.846,5151.774187500001
100532,EVPlan,366,10308.938,2255.891142578125
100533,MiddaySaver,366,22324.111,5046.015332031249
100534,Solar,366,14047.303,1422.51123046875
100535,MiddaySaver,366,22749.547,5134.505966796874
100536,Solar,366,15945.541,1555.3878906250002
100537,A1,366,14645.127,3758.911453125
100538,A1,366,14338.695,3687.81940234375
100539,Solar,366,22000.965,1979.2675292968752
100540,A1,366,11904.654,3123.1219023437498
100541,MiddaySaver,366,23646.48,5321.068154296875
100542,A1,366,12277.35,3209.58721484375
100543,Solar,366,10779.552,1193.76865234375
100544,Solar,366,9554.081,1107.985693359375
100545,EVPlan,366,15941.81,3258.542197265625
100546,Solar,366,20486.184,1873.2329101562502
100547,A1,366,11393.512,3004.53682421875
100548,Solar,366,10718.467,1189.4927001953124
100549,A1,366,13464.238,3484.94537890625
100550,A1,366,11821.475,3103.82420703125
100551,EVPlan,366,12328.482,2615.369951171875
100552,A1,366,12668.795,3300.40252734375
100553,Solar,366,25372.348,2215.264404296875
100554,Solar,366,20590.77,1880.553857421875
100555,Solar,366,20394.256,1866.79794921875
100556,A1,366,14229.663,3662.5238359375
100557,Solar,366,22527.945,2016.15625
100558,MiddaySaver,366,8296.709,2128.31546875
100559,MiddaySaver,366,16597.863,3854.955751953125
100560,Solar,366,8329.066,1022.23466796875
100561,A1,366,9926.223,2664.1257011718753
100562,Solar,366,17378.09,1655.6663085937503
100563,MiddaySaver,366,15267.488,3578.2376708984375
100564,A1,366,19405.326,4863.27776171875
100565,Solar,366,20074.918,1844.444287109375
100566,A1,366,10731.42,2850.9314140625
100567,Solar,366,11679.033,1256.7323486328125
100568,EVPlan,366,16364.656,3333.80890625
100569,A1,366,8081.0864,2236.05405078125
100570,MiddaySaver,366,10673.387,2622.6645458984376
100571,MiddaySaver,366,13152.797,3138.3817431640623
100572,MiddaySaver,366,10382.432,2562.145869140625
100573,MiddaySaver,366,12810.283,3067.138994140625
100574,Solar,366,23773.742,2103.36201171875
100575,Solar,366,17592.23,1670.65615234375
100576,A1,366,16817.969,4263.01075
100577,EVPlan,366,17544.482,3543.81787109375
100578,EVPlan,366,11743.836,2511.302890625
100579,A1,366,15684.697,4000.0917656250003
100580,MiddaySaver,366,20899.096,4749.612109375
100581,EVPlan,366,27333.086,5286.189296875
100582,EVPlan,366,9543.441,2119.6326171875
100583,A1,366,9355.076,2531.619724609375
100584,MiddaySaver,366,15021.035,3526.9753124999997
100585,Solar,366,17861.514,1689.50595703125
100586,Solar,366,22424.88,2008.9416503906252
100587,EVPlan,366,11902.707,2539.5819384765623
100588,Solar,366,14987.106,1488.297509765625
100589,A1,366,11843.631,3108.9644804687505
100590,EVPlan,366,7782.384,1806.1643945312499
100591,EVPlan,366,12282.832,2607.2441748046876
100592,MiddaySaver,366,12464.566,2995.2299072265623
100593,Solar,366,8614.914,1042.243994140625
100594,MiddaySaver,366,13189.256,3145.9653271484376
