customer_id,solar_capacity_kw,battery_capacity_kwh,ev_plan_enrolled,midday_saver_enrolled,smart_meter_status
202,0,5,0,0,no
203,6,0,0,0,no
204,10,0,0,1,no
205,3,5,0,0,no
206,0,0,0,1,no
207,0,0,0,0,no
208,0,0,0,0,yes
209,0,0,0,1,no
210,3,0,0,0,yes
211,0,13,0,0,no
212,6,0,0,0,yes
213,0,0,0,0,no
214,0,0,0,0,no
215,0,0,0,0,no
216,0,0,0,0,yes
217,0,0,0,1,no
218,6,0,0,0,yes
219,3,0,0,0,no
220,0,0,1,1,no
221,0,5,0,0,no
222,0,0,0,0,yes
223,0,0,0,0,no
224,3,0,0,1,no
225,0,5,0,1,yes
226,3,0,0,0,yes
227,0,5,0,0,no
228,0,0,0,1,no
229,0,0,0,0,yes
230,0,0,0,1,yes
231,0,5,1,0,no
232,0,0,0,1,yes
233,0,0,1,1,yes
234,0,0,0,1,no
235,0,0,0,0,no
236,0,0,0,0,yes
237,3,5,0,0,no
238,3,0,0,0,no
239,0,0,0,1,no
240,3,0,0,0,no
241,0,0,0,0,no
242,0,0,0,0,yes
243,0,0,0,0,no
244,0,0,0,0,yes
245,0,0,0,1,no
246,0,0,0,0,no
247,0,0,0,0,no
248,0,0,0,1,yes
249,0,0,0,1,no
250,3,0,0,0,no
251,0,0,0,0,no
252,10,0,0,0,no
253,3,0,0,0,no
254,6,0,0,0,no
255,0,0,0,1,no
256,3,0,0,0,no
257,3,0,0,0,no
258,3,0,0,0,no
259,0,10,0,1,no
260,3,0,0,0,no
261,0,0,1,0,no
262,6,10,0,0,yes
263,0,0,0,0,no
264,0,0,0,0,no
265,6,0,0,1,yes
266,6,0,0,0,no
267,0,5,1,0,no
268,0,0,0,0,yes
269,0,5,0,0,yes
270,3,0,0,0,yes
271,0,0,0,0,yes
272,0,0,0,0,no
273,6,0,0,0,yes
274,3,0,0,0,yes
275,10,5,0,0,no
276,3,0,0,0,no
277,3,0,0,0,no
278,0,5,0,0,no
279,0,0,0,0,no
280,0,5,0,0,no
281,0,0,0,1,no
282,0,0,0,0,no
283,0,0,0,0,yes
284,6,0,0,0,yes
285,6,0,0,1,no
286,0,0,0,0,yes
287,6,0,0,0,no
288,6,0,0,0,no
289,6,5,0,0,yes
290,3,0,0,0,no
291,0,13,0,1,yes
292,0,0,0,0,no
293,6,0,0,0,no
294,6,0,0,0,no
295,0,0,0,1,no
296,0,0,0,1,no
297,0,0,0,1,no
298,3,0,0,1,no
299,6,0,0,1,no
300,0,5,0,1,no
301,0,0,1,0,yes
302,0,10,0,0,no
303,0,0,0,0,no
304,6,0,0,1,yes
305,6,0,0,0,no
306,0,0,0,0,yes
307,6,0,0,0,no
308,0,0,0,0,no
309,10,0,0,0,no
310,0,0,0,0,no
311,6,0,0,0,no
312,10,0,0,0,no
313,0,0,0,0,yes
314,0,0,0,1,no
315,0,0,0,0,no
316,0,0,1,0,yes
317,0,0,0,0,yes
318,0,0,0,0,no
319,0,0,0,0,yes
320,6,0,0,0,no
321,0,0,0,1,no
322,6,0,0,1,yes
323,0,0,0,0,yes
324,0,5,0,0,yes
325,0,0,0,1,yes
326,6,0,0,1,no
327,0,0,0,1,yes
328,0,0,0,0,yes
329,0,0,0,0,yes
330,0,0,0,0,yes
331,3,0,0,1,yes
332,3,0,0,0,yes
333,0,10,0,1,no
334,0,0,0,1,no
335,3,0,0,0,no
336,0,5,0,0,no
337,6,0,0,0,no
338,0,0,0,0,no
339,3,0,0,0,no
340,3,5,0,0,no
341,6,0,0,1,no
342,0,0,1,0,no
343,0,0,0,0,yes
344,6,0,0,1,no
345,0,0,0,0,yes
346,0,0,0,1,no
347,3,0,0,0,no
348,0,5,0,0,no
349,0,5,0,0,no
350,0,0,1,0,no
351,0,0,0,0,no
352,0,0,0,1,no
353,6,0,0,0,yes
354,0,5,0,1,yes
355,0,0,0,1,yes
356,0,0,1,0,no
357,0,13,0,0,no
358,0,0,1,0,no
359,0,0,0,0,no
360,6,0,0,0,no
361,0,0,0,0,no
362,3,0,0,1,no
363,3,0,0,0,no
364,0,0,0,0,no
365,3,10,0,1,no
366,0,0,0,0,no
367,0,0,1,0,no
368,0,0,0,1,no
369,0,0,0,1,no
370,10,0,1,0,no
371,6,0,0,0,no
372,0,0,1,0,no
373,0,0,0,0,yes
374,10,0,0,0,yes
375,0,0,0,0,no
376,6,0,0,0,yes
377,0,0,1,0,yes
378,6,0,0,0,no
379,3,0,0,0,no
380,0,0,0,0,yes
381,3,0,0,0,no
382,6,0,0,1,yes
383,3,5,0,0,no
384,6,0,0,0,yes
385,0,0,0,0,no
386,6,10,0,0,no
387,10,5,0,0,no
388,6,0,0,0,no
389,6,0,0,0,yes
390,0,5,0,0,yes
391,6,0,0,1,no
392,0,0,0,0,yes
393,0,0,0,1,yes
394,3,0,1,1,no
395,0,0,0,1,no
396,0,0,0,1,yes
397,0,0,0,1,no
398,0,0,0,1,yes
399,6,0,0,0,no
400,3,0,0,1,no
401,3,0,0,1,no
402,0,0,0,0,no
403,0,0,0,0,no
404,0,0,0,0,no
405,10,0,0,0,yes
406,6,0,0,0,yes
407,0,0,0,0,no
408,6,0,0,0,yes
409,6,0,0,1,no
410,0,0,0,0,yes
411,10,0,0,0,no
412,0,0,0,0,no
413,6,0,0,0,yes
414,0,0,0,0,no
415,0,0,0,0,no
416,0,0,1,1,no
417,0,0,0,0,yes
418,10,0,0,0,no
419,0,0,0,1,yes
420,10,0,0,0,no
421,0,0,1,0,yes
422,0,0,0,0,yes
423,0,0,0,0,no
424,0,0,0,1,yes
425,0,0,0,0,yes
426,0,0,0,1,yes
427,6,0,0,0,no
428,0,0,0,0,yes
429,0,0,0,0,yes
430,0,0,0,0,no
431,10,0,0,1,yes
432,6,0,0,1,no
433,6,0,1,1,yes
434,0,0,0,1,no
435,0,0,0,0,no
436,6,0,0,0,yes
437,0,0,0,0,yes
438,0,0,1,0,yes
439,0,0,0,0,yes
440,0,0,0,1,yes
441,10,0,0,0,no
442,0,0,0,1,yes
443,0,0,0,0,no
444,0,0,0,1,no
445,0,0,0,0,no
446,0,0,0,0,no
447,0,0,1,1,no
448,0,0,0,0,no
449,6,0,0,0,no
450,0,0,0,0,no
451,0,0,0,0,no
452,0,0,0,1,no
453,0,0,0,1,no
454,0,0,0,0,no
455,6,0,0,1,no
456,0,0,0,1,no
457,0,0,0,0,no
458,0,0,0,0,no
459,6,0,0,1,yes
460,0,0,0,0,no
461,0,0,0,1,yes
462,0,0,0,1,no
463,0,5,0,0,yes
464,0,0,0,0,no
465,10,0,0,1,yes
466,3,0,0,0,no
467,6,0,0,1,no
468,0,0,0,1,no
469,0,0,0,0,no
470,6,0,0,1,no
471,6,13,0,0,yes
472,10,0,0,0,no
473,0,0,0,0,yes
474,0,0,0,1,yes
475,10,0,0,0,no
476,0,0,0,0,no
477,0,0,0,0,no
478,0,0,1,1,no
479,6,0,0,1,no
480,0,0,0,1,no
481,0,5,0,0,no
482,3,0,0,0,no
483,6,0,0,0,no
484,0,0,0,0,no
485,0,0,0,1,no
486,0,0,0,0,no
487,10,0,0,0,yes
488,0,0,0,0,yes
489,0,0,0,0,no
490,0,0,0,0,no
491,0,0,0,0,yes
492,0,0,0,1,yes
493,3,0,0,0,no
494,6,0,0,1,yes
495,3,0,0,1,no
496,0,0,0,0,yes
497,0,0,0,0,no
498,0,0,0,0,no
499,6,0,0,1,no
500,3,0,0,1,yes
501,6,0,0,0,yes
502,0,0,1,1,no
503,0,0,0,0,yes
504,3,0,0,0,yes
505,0,0,0,0,yes
506,3,5,0,0,no
507,0,0,0,0,no
508,0,0,0,0,no
509,3,0,0,0,no
510,3,0,0,0,no
511,3,0,0,1,no
512,0,0,1,0,yes
513,0,0,0,0,yes
514,0,5,0,0,no
515,0,0,0,0,no
516,0,13,0,0,no
517,0,0,0,0,no
518,6,0,1,1,no
519,0,0,1,1,yes
520,0,0,0,1,no
521,6,5,0,0,no
522,0,5,0,0,no
523,6,0,0,0,no
524,6,0,0,0,yes
525,3,0,0,1,no
526,6,0,0,0,no
527,6,5,0,0,yes
528,0,0,0,0,no
529,0,0,0,0,no
530,0,0,0,0,yes
531,0,0,0,1,yes
532,0,10,0,1,yes
533,3,0,0,0,no
534,6,0,0,0,yes
535,0,0,0,0,yes
536,0,0,0,0,yes
537,0,0,0,0,no
538,0,0,0,0,yes
539,0,5,0,0,no
540,0,0,0,1,no
541,0,0,0,1,no
542,3,0,0,0,no
543,0,5,0,1,yes
544,0,0,0,1,yes
545,3,0,0,0,no
546,6,0,0,1,no
547,6,0,0,0,no
548,0,0,0,0,no
549,0,0,0,0,yes
550,0,0,0,0,yes
551,3,0,0,0,yes
552,10,10,0,0,no
553,0,0,0,0,no
554,0,0,0,0,yes
555,3,0,0,0,no
556,6,0,1,0,no
557,0,0,0,1,no
558,6,0,0,1,no
559,0,0,0,0,no
560,6,5,0,0,yes
561,3,0,0,0,no
562,3,0,0,1,no
563,6,0,0,0,no
564,3,0,0,1,no
565,0,0,1,0,yes
566,0,0,0,0,no
567,6,0,0,0,yes
568,0,0,0,0,no
569,0,10,0,0,no
570,6,0,0,1,yes
571,6,0,0,1,no
572,0,0,0,1,no
573,0,0,0,1,no
574,6,0,0,0,no
575,0,0,0,0,no
576,0,5,0,1,yes
577,0,0,0,0,no
578,3,0,0,1,no
579,3,0,0,0,no
580,0,0,0,0,yes
581,0,0,0,1,yes
582,0,5,0,0,no
583,0,0,0,0,no
584,3,0,0,1,no
585,3,10,0,0,no
586,0,0,0,1,no
587,0,0,0,0,no
588,0,5,0,1,no
589,10,0,0,0,no
590,0,0,0,0,no
591,0,0,0,0,no
592,0,0,0,0,no
593,0,0,0,0,no
594,3,0,0,1,yes
595,0,0,0,0,yes
596,3,0,0,0,no
597,0,0,0,0,no
598,0,0,0,0,yes
599,3,0,0,0,no
600,6,0,0,0,no
601,0,0,0,0,no
602,6,0,0,0,no
603,6,0,0,0,no
604,0,0,0,1,yes
605,0,5,0,1,no
606,10,0,0,0,no
607,0,5,0,0,no
608,6,0,0,0,no
609,0,0,0,0,yes
610,0,10,0,0,no
611,6,5,0,0,no
612,3,5,0,0,no
613,0,0,0,0,no
614,0,0,0,1,yes
615,0,0,0,1,no
616,0,0,0,0,no
617,6,0,0,0,no
618,0,0,0,0,no
619,0,0,1,0,yes
620,0,0,0,0,no
621,0,0,0,0,yes
622,6,0,1,0,no
623,0,0,0,0,no
624,3,10,1,0,no
625,0,0,0,0,yes
626,6,0,0,0,no
627,0,0,1,1,no
628,0,0,0,0,no
629,0,0,0,1,yes
630,0,0,0,1,no
631,0,0,0,0,no
632,0,0,0,1,no
633,10,0,0,0,no
634,0,0,0,0,yes
635,6,0,0,0,no
636,3,0,0,1,yes
637,3,0,0,0,no
638,0,0,0,1,no
639,0,13,0,1,yes
640,0,0,1,1,no
641,0,0,0,1,no
642,0,0,0,0,yes
643,10,0,0,0,yes
644,0,0,0,1,no
645,0,0,0,0,no
646,0,0,0,1,no
647,0,0,0,0,no
648,0,0,0,0,no
649,0,0,0,0,no
650,3,5,0,0,no
651,3,5,0,1,yes
652,0,0,1,0,yes
653,6,0,0,0,no
654,3,0,0,0,no
655,0,0,0,0,no
656,0,5,0,1,no
657,0,0,0,0,no
658,0,0,0,0,no
659,0,5,0,0,no
660,6,0,1,0,no
661,0,0,0,0,no
662,0,0,0,0,yes
663,3,0,0,0,no
664,0,13,0,1,no
665,0,0,1,0,no
666,0,0,0,0,no
667,6,13,0,0,no
668,6,0,0,0,no
669,0,13,0,0,yes
670,0,0,0,0,no
671,0,0,0,0,no
672,0,0,0,1,no
673,6,0,0,0,no
674,0,0,1,0,yes
675,0,0,0,0,no
676,0,0,0,0,no
677,0,0,0,0,no
678,0,0,0,1,no
679,3,5,0,0,no
680,0,0,0,0,no
681,6,0,0,0,no
682,0,0,0,1,no
683,0,5,0,1,yes
684,0,5,0,0,no
685,3,0,0,0,no
686,0,0,0,0,yes
687,0,5,0,0,no
688,3,0,0,0,yes
689,0,0,0,1,no
690,3,0,0,1,no
691,0,0,0,1,yes
692,3,0,0,0,yes
693,0,13,0,1,no
694,6,0,0,0,no
695,3,0,0,1,no
696,6,10,0,1,no
697,3,0,0,0,yes
698,0,0,0,0,yes
699,3,0,0,1,no
700,0,5,0,0,yes
701,6,0,0,0,yes
702,6,0,1,0,yes
703,6,0,0,0,no
704,10,0,0,0,no
705,6,0,0,0,yes
706,0,0,0,0,no
707,0,0,0,0,yes
708,0,0,0,0,no
709,0,0,0,0,no
710,0,13,0,0,yes
711,0,0,0,1,yes
712,0,0,0,1,yes
713,0,0,0,0,no
714,10,0,0,0,yes
715,3,0,0,1,no
716,0,0,0,0,no
717,3,0,0,0,no
718,0,0,0,1,yes
719,3,13,0,0,no
720,0,0,1,0,yes
721,0,0,0,1,yes
722,0,0,0,0,no
723,0,0,0,0,no
724,0,0,0,1,yes
725,0,0,0,0,no
726,0,0,0,1,no
727,10,0,1,0,yes
728,10,5,1,0,yes
729,0,0,1,0,no
730,0,0,0,0,no
731,0,0,0,1,yes
732,3,0,0,0,no
733,0,0,0,1,no
734,0,0,0,0,yes
735,0,0,1,0,no
736,0,0,0,0,no
737,0,0,0,0,no
738,0,0,0,0,no
739,0,0,0,0,no
740,0,0,0,0,no
741,0,0,0,0,no
742,10,5,0,1,no
743,3,0,0,0,yes
744,10,0,0,0,no
745,3,0,0,0,no
746,6,0,0,0,yes
747,0,0,0,0,no
748,6,0,0,0,no
749,6,0,0,1,yes
750,0,0,0,0,no
751,10,0,0,0,no
752,0,0,0,0,yes
753,0,0,0,0,yes
754,3,0,0,0,no
755,0,0,0,1,no
756,0,0,0,0,no
757,0,10,0,1,no
758,0,0,0,1,yes
759,0,5,0,0,no
760,6,0,0,0,no
761,0,0,0,1,no
762,0,10,0,0,no
763,6,0,0,1,no
764,3,0,0,0,no
765,0,0,0,1,no
766,10,0,0,0,no
767,0,0,0,0,no
768,10,0,0,0,no
769,6,0,0,1,no
770,0,0,1,0,yes
771,0,0,0,1,yes
772,0,5,0,0,yes
773,0,0,0,0,no
774,3,0,0,0,no
775,0,0,0,0,yes
776,10,0,0,0,no
777,0,0,0,1,no
778,0,0,0,1,no
779,0,0,0,0,yes
780,3,13,0,0,yes
781,3,0,0,1,yes
782,0,5,0,0,yes
783,0,0,0,1,no
784,0,0,0,0,no
785,3,0,0,0,yes
786,0,0,1,0,no
787,6,10,0,0,no
788,6,0,0,0,yes
789,0,0,0,0,no
790,6,0,0,0,no
791,3,0,0,0,yes
792,0,0,0,0,no
793,0,0,1,0,yes
794,0,0,0,0,no
795,0,0,0,0,no
796,0,0,1,0,yes
797,0,5,0,0,no
798,0,0,0,0,no
799,6,5,0,0,no
800,3,0,1,0,no
801,0,0,0,0,yes
802,0,0,0,0,no
803,0,0,0,0,no
804,6,0,0,1,no
805,0,0,0,1,no
806,3,0,0,0,yes
807,0,0,0,0,no
808,0,0,0,0,no
809,0,0,0,0,yes
810,0,0,0,0,no
811,3,0,1,0,yes
812,10,0,1,0,no
813,0,0,0,0,yes
814,3,5,0,1,yes
815,3,0,0,1,yes
816,0,0,0,0,no
817,10,0,0,0,no
818,3,0,0,0,yes
819,3,5,0,0,no
820,0,0,0,1,no
821,10,5,0,0,no
822,3,0,0,0,yes
823,0,13,0,0,no
824,3,0,0,0,no
825,6,0,0,0,no
826,0,0,0,1,no
827,3,0,0,1,yes
828,0,0,0,0,yes
829,3,0,0,0,no
830,0,0,0,0,yes
831,0,0,0,1,no
832,0,0,0,0,yes
833,0,0,1,1,yes
834,0,0,1,1,no
835,0,0,0,0,no
836,0,0,0,0,yes
837,0,0,0,0,yes
838,0,0,0,0,no
839,0,0,0,0,no
840,0,0,0,0,no
841,0,0,1,1,no
842,6,0,0,1,no
843,0,0,0,0,no
844,0,0,0,0,no
845,6,0,0,0,no
846,3,0,0,0,yes
847,0,0,0,0,no
848,0,13,0,1,no
849,0,0,0,1,no
850,3,5,0,1,no
851,0,0,0,0,yes
852,6,0,0,1,no
853,0,5,0,1,no
854,0,0,0,0,no
855,0,0,0,0,no
856,0,0,0,1,no
857,0,0,0,1,no
858,6,0,0,0,no
859,0,0,0,1,no
860,3,0,0,0,no
861,0,0,0,1,no
862,10,0,0,1,no
863,0,0,0,0,no
864,10,0,0,1,no
865,0,0,0,1,no
866,0,0,1,0,no
867,0,0,1,0,no
868,0,0,0,0,no
869,6,0,0,1,no
870,6,0,1,1,yes
871,0,5,0,0,no
872,3,0,0,0,no
873,6,0,0,0,yes
874,3,0,1,1,no
875,0,0,0,1,no
876,0,0,0,1,no
877,0,0,0,0,no
878,0,0,0,1,no
879,3,0,0,0,no
880,6,0,0,1,no
881,0,5,0,0,yes
882,0,0,0,1,no
883,0,0,0,1,no
884,6,0,0,0,yes
885,0,0,0,1,yes
886,10,13,0,0,yes
887,0,0,0,0,yes
888,0,5,0,0,no
889,0,0,0,1,no
890,6,10,1,1,no
891,6,0,0,0,yes
892,0,0,0,0,no
893,0,0,0,0,yes
894,0,0,0,0,no
895,10,0,0,0,yes
896,0,0,0,1,no
897,0,0,0,0,no
898,0,0,0,0,no
899,0,0,0,1,yes
900,3,0,0,0,no
901,0,0,0,0,yes
902,10,5,1,1,no
903,0,0,1,0,yes
904,0,0,0,0,no
905,0,0,0,1,no
906,3,0,0,0,no
907,10,0,0,0,no
908,0,0,0,0,no
909,0,0,0,0,yes
910,0,0,0,0,no
911,0,10,0,0,yes
912,3,0,0,1,no
913,3,0,0,0,no
914,0,0,0,1,no
915,3,0,0,1,no
916,0,0,0,1,no
917,0,0,0,0,no
918,10,0,0,1,no
919,0,0,0,1,no
920,6,5,0,0,no
921,3,0,0,0,no
922,0,5,0,1,no
923,3,0,0,0,no
924,0,0,1,0,yes
925,0,0,0,0,no
926,3,0,0,0,no
927,3,0,0,0,yes
928,3,0,0,1,no
929,6,0,0,0,no
930,0,5,0,0,no
931,3,0,0,0,no
932,0,13,0,0,no
933,3,0,1,0,no
934,0,5,0,0,yes
935,0,0,0,0,no
936,10,0,0,1,no
937,0,0,0,0,no
938,0,0,0,0,no
939,0,0,0,1,no
940,0,0,1,0,no
941,0,0,0,0,no
942,3,0,0,0,yes
943,0,5,0,0,no
944,3,0,0,0,no
945,0,0,0,1,no
946,3,0,0,0,no
947,3,0,1,1,yes
948,0,0,0,1,no
949,0,5,0,0,yes
950,0,0,0,1,no
951,0,0,0,0,yes
952,0,0,0,0,no
953,0,0,0,1,yes
954,0,0,0,0,no
955,0,0,0,0,no
956,0,0,0,0,no
957,10,0,0,0,no
958,0,0,0,0,no
959,10,0,0,0,yes
960,0,0,0,0,yes
961,3,0,1,1,no
962,0,0,0,1,yes
963,0,0,0,0,yes
964,6,0,0,1,no
965,0,0,0,0,yes
966,0,0,0,0,no
967,0,0,0,1,no
968,0,5,0,0,no
969,3,0,0,1,no
970,3,5,0,1,no
971,3,5,0,1,yes
972,0,0,1,0,no
973,0,0,0,0,no
974,0,0,0,0,no
975,0,0,0,0,no
976,0,0,0,0,no
977,3,0,0,0,no
978,0,0,0,0,no
979,0,0,0,0,no
980,3,0,0,1,yes
981,0,0,0,1,no
982,0,0,0,1,no
983,3,0,1,1,no
984,3,0,0,0,no
985,0,0,0,0,yes
986,0,0,0,0,no
987,3,0,0,0,no
988,0,0,0,1,yes
989,6,0,0,1,yes
990,0,0,0,1,no
991,0,0,0,1,no
992,10,0,0,0,yes
993,3,0,0,1,no
994,0,0,0,0,no
995,6,0,0,0,yes
996,0,0,0,0,yes
997,0,0,0,0,yes
998,0,0,1,0,no
999,0,0,0,1,no
1000,0,0,0,0,no
1001,3,0,0,0,no
1002,0,0,0,0,no
1003,6,0,0,1,no
1004,6,0,0,1,no
1005,0,0,0,1,no
1006,3,0,0,1,no
1007,0,0,0,0,yes
1008,0,0,0,1,no
1009,3,0,0,1,yes
1010,0,0,0,1,no
1011,0,0,1,0,yes
1012,6,0,0,0,no
1013,0,0,0,0,no
1014,0,0,0,0,no
1015,6,0,0,0,yes
1016,0,5,0,0,yes
1017,0,0,1,0,no
1018,6,0,0,1,no
1019,6,0,0,1,yes
1020,0,0,0,0,no
1021,3,0,1,0,no
1022,6,0,0,0,yes
1023,0,13,0,0,no
1024,0,0,0,0,yes
1025,0,0,0,1,no
1026,3,0,0,0,yes
1027,6,0,0,0,yes
1028,3,5,0,0,no
1029,3,13,0,0,no
1030,0,5,0,0,no
1031,0,0,0,0,no
1032,0,0,0,1,no
1033,0,5,0,0,no
1034,0,0,0,0,yes
1035,0,0,0,0,no
1036,6,0,0,0,no
1037,0,0,0,0,no
1038,6,0,0,0,no
1039,0,0,0,0,no
1040,0,0,0,1,no
1041,6,0,0,0,yes
1042,0,0,0,1,no
1043,0,0,1,1,no
1044,0,5,0,1,yes
1045,0,0,0,0,no
1046,0,0,0,0,no
1047,0,0,1,0,no
1048,0,0,0,0,no
1049,0,0,0,0,no
1050,0,0,0,0,no
1051,3,0,0,0,no
1052,0,0,0,0,yes
1053,6,0,0,1,yes
1054,0,0,0,1,yes
1055,3,5,0,0,no
1056,3,0,0,1,no
1057,6,0,0,1,no
1058,3,0,0,1,no
1059,0,0,0,0,yes
1060,0,0,0,0,no
1061,10,0,1,0,yes
1062,0,0,0,0,no
1063,6,0,0,0,no
1064,3,0,1,0,no
1065,10,0,0,0,no
1066,0,0,0,1,no
1067,0,0,0,0,no
1068,0,0,0,1,yes
1069,6,0,0,0,no
1070,6,0,0,0,no
1071,3,0,0,0,no
1072,0,10,0,1,no
1073,0,0,0,0,no
1074,0,0,0,1,no
1075,3,0,0,0,no
1076,0,0,0,0,no
1077,0,0,0,0,yes
1078,0,0,0,0,no
1079,0,0,0,0,yes
1080,0,0,0,0,yes
1081,6,0,0,1,no
1082,0,10,0,0,yes
1083,0,0,0,1,yes
1084,6,10,0,0,no
1085,0,0,0,0,no
1086,0,0,0,1,no
1087,3,5,0,0,no
1088,0,0,0,0,no
1089,6,0,0,0,no
1090,3,0,0,0,no
1091,0,0,0,0,yes
1092,0,0,0,1,no
1093,6,0,0,0,no
1094,0,0,0,0,yes
1095,0,0,0,0,yes
1096,10,0,0,0,no
1097,0,0,0,0,yes
1098,3,10,0,0,no
1099,0,0,0,0,yes
1100,3,0,0,0,yes
1101,0,0,0,0,no
1102,0,0,0,0,no
1103,0,0,0,1,no
1104,0,0,0,0,no
1105,0,0,0,1,no
1106,6,5,0,1,no
1107,10,0,0,0,no
1108,0,10,0,1,no
1109,6,0,0,0,no
1110,0,0,0,0,no
1111,0,0,0,0,yes
1112,0,0,0,0,no
1113,0,0,1,1,no
1114,0,0,0,0,no
1115,6,0,0,0,yes
1116,0,0,0,0,no
1117,3,0,0,1,no
1118,6,0,0,0,no
1119,3,5,1,0,yes
